Date,brazil_drawdown_pressure_weighted,brazil_vol_pressure_weighted,external_brazil_pressure_weighted,global_equity_pressure_weighted,fx_pressure_weighted,vix_pressure_weighted,bsti_raw_score,bsti_0_100,bsti_regime,stress_breadth,active_pressure_channels,dominant_pressure_channel,dominant_pressure_value,brazil_drawdown_pressure,brazil_vol_pressure,external_brazil_pressure,global_equity_pressure,fx_pressure,vix_pressure,bsti_state,previous_bsti_state,next_bsti_state,state_changed,warning_threshold,stress_threshold
2014-03-14,0.39927187263669595,0.0,0.0,0.06003871719768345,0.08320802606232686,0.17382696418099866,0.7163455800777049,23.878186002590162,fragile,0.3333333333333333,2,brazil_drawdown_pressure,1.9963593631834795,1.9963593631834795,0.0,0.0,0.400258114651223,0.5547201737488457,1.1588464278733244,warning,warning,normal,False,15.0,33.0
2014-03-17,0.3560413293674449,0.0,0.0,0.0,0.0,0.0,0.3560413293674449,11.868044312248164,calm,0.16666666666666666,1,brazil_drawdown_pressure,1.7802066468372244,1.7802066468372244,0.0,0.0,0.0,0.0,0.0,normal,warning,normal,True,15.0,33.0
2014-03-18,0.21922397795029502,0.04913200206353703,0.0,0.0,0.05559328167207053,0.0,0.32394926168590255,10.79830872286342,calm,0.16666666666666666,1,brazil_drawdown_pressure,1.096119889751475,1.096119889751475,0.3275466804235802,0.0,0.0,0.37062187781380357,0.0,normal,normal,normal,False,15.0,33.0
2014-03-19,0.16232469493982038,0.0,0.0,0.11420276009846453,0.0,0.07037270267812125,0.34690015771640614,11.563338590546872,calm,0.3333333333333333,2,brazil_drawdown_pressure,0.8116234746991019,0.8116234746991019,0.0,0.0,0.7613517339897635,0.0,0.46915135118747503,normal,normal,normal,False,15.0,33.0
2014-03-20,0.07834480301138488,0.0,0.0,0.0,0.14904214395556536,0.0,0.22738694696695025,7.579564898898342,calm,0.16666666666666666,1,fx_pressure,0.9936142930371025,0.3917240150569244,0.0,0.0,0.0,0.9936142930371025,0.0,normal,normal,normal,False,15.0,33.0
2014-03-21,0.03678557185834241,0.0,0.0,0.08663510751256027,0.0,0.05606457591561836,0.17948525528652104,5.982841842884035,calm,0.0,0,global_equity_pressure,0.5775673834170685,0.18392785929171201,0.0,0.0,0.5775673834170685,0.0,0.3737638394374557,normal,normal,normal,False,15.0,33.0
2014-03-24,0.0,0.038783617866047344,0.0,0.09069853129240353,0.0,0.004184007806052584,0.13366615696450346,4.455538565483449,calm,0.0,0,global_equity_pressure,0.6046568752826902,0.0,0.25855745244031564,0.0,0.6046568752826902,0.0,0.027893385373683893,normal,normal,normal,False,15.0,33.0
2014-03-25,0.0,0.028677096732076437,0.0,0.0,0.0,0.0,0.028677096732076437,0.9559032244025479,calm,0.0,0,brazil_vol_pressure,0.1911806448805096,0.0,0.1911806448805096,0.0,0.0,0.0,0.0,normal,normal,normal,False,15.0,33.0
2014-03-26,0.0,0.010132871160279151,0.0,0.15234401865838307,0.0,0.11898709943322151,0.2814639892518837,9.38213297506279,calm,0.3333333333333333,2,global_equity_pressure,1.0156267910558872,0.0,0.067552474401861,0.0,1.0156267910558872,0.0,0.7932473295548101,normal,normal,normal,False,15.0,33.0
2014-03-27,0.0,0.2754492756969397,0.0,0.04839495597884762,0.0,0.0,0.32384423167578735,10.794807722526246,calm,0.16666666666666666,1,brazil_vol_pressure,1.8363285046462647,0.0,1.8363285046462647,0.0,0.3226330398589841,0.0,0.0,normal,normal,normal,False,15.0,33.0
2014-03-28,0.0,0.1535440464055875,0.0,0.0,0.0,0.0,0.1535440464055875,5.1181348801862505,calm,0.16666666666666666,1,brazil_vol_pressure,1.02362697603725,0.0,1.02362697603725,0.0,0.0,0.0,0.0,normal,normal,normal,False,15.0,33.0
2014-03-31,0.0,0.12873834122586453,0.07270432825082698,0.0,0.014255586192079112,0.0,0.21569825566877063,7.189941855625688,calm,0.16666666666666666,1,brazil_vol_pressure,0.8582556081724302,0.0,0.8582556081724302,0.3635216412541349,0.0,0.09503724128052742,0.0,normal,normal,normal,False,15.0,33.0
