Date,returns,realized_volatility,volatility_percentile,drawdown,regime
2024-04-22,0.002304200266840528,0.12093532898268082,0.10714285714285714,-0.06587925744382395,neutral
2024-04-23,-0.003201965352026437,0.121279862565635,0.12301587301587301,-0.06887027969609816,neutral
2024-04-24,-0.003624103682846491,0.12163443558217556,0.13095238095238096,-0.07224479034465925,neutral
2024-04-25,-0.0004959705545863891,0.11862168041408366,0.07539682539682539,-0.07270492961051245,neutral
2024-04-26,0.015879564227877063,0.13222148410369644,0.26587301587301587,-0.057979887982068656,neutral
2024-04-29,0.007652811186184216,0.13524195273160716,0.30952380952380953,-0.05077078593120732,neutral
2024-04-30,-0.011230503573955608,0.13776778633132347,0.376984126984127,-0.06143110801231,neutral
2024-05-01,0.0,0.1370217730172043,0.3611111111111111,-0.06143110801231,neutral
2024-05-02,0.007926141873450865,0.13998927538753528,0.42857142857142855,-0.05399187781640802,fragile
2024-05-03,0.011917318515504816,0.14598078809656503,0.48412698412698413,-0.04271799770609164,fragile
2024-05-06,-0.0008812739194079544,0.14400045781284085,0.47619047619047616,-0.04356162536823194,fragile
2024-05-07,0.005532855797223402,0.13081224953376686,0.24603174603174602,-0.038269789762463646,calm
2024-05-08,0.002791056378486978,0.1275569166972445,0.21031746031746032,-0.03558554652479651,calm
2024-05-09,-0.009781338822533514,0.11881689845749496,0.07936507936507936,-0.04501881105958605,calm
2024-05-10,-0.004095683589663279,0.11908024811350856,0.08333333333333333,-0.04893011184356655,calm
2024-05-13,0.0044350892096516326,0.10990515685019267,0.01984126984126984,-0.04471203204497931,calm
2024-05-14,0.0020070649076755487,0.10801068258160132,0.011904761904761904,-0.04279470708777222,calm
2024-05-15,-0.004647017170141932,0.10716256063485494,0.011904761904761904,-0.04724285651928606,calm
2024-05-16,0.002575864816688478,0.1062805658184067,0.003968253968253968,-0.04478868291454552,calm
2024-05-17,-0.0014452051446436354,0.10656434823759112,0.011904761904761904,-0.04616915922421916,calm
2024-05-20,-0.002010131016153549,0.1039803954601142,0.003968253968253968,-0.04808648418142636,calm
2024-05-21,-0.0033838687483546126,0.10496372842909034,0.007936507936507936,-0.051307634578741323,neutral
2024-05-22,-0.013177019350291364,0.11492109891189839,0.09523809523809523,-0.06380857223537095,neutral
2024-05-23,-0.007946270362317764,0.11771407090349081,0.10317460317460317,-0.07124780243127282,neutral
2024-05-24,-0.003798506112871358,0.11847022378179801,0.1111111111111111,-0.07477567333108037,neutral
2024-05-27,0.001906526509426687,0.10372303838760931,0.003968253968253968,-0.07301170862511963,neutral
2024-05-28,-0.005708632627840049,0.10036473369833562,0.003968253968253968,-0.07830354423088792,neutral
2024-05-29,-0.008820082841588195,0.09769622857489883,0.003968253968253968,-0.0864329833255697,neutral
2024-05-30,0.0,0.09769622857489883,0.007936507936507936,-0.0864329833255697,neutral
2024-05-31,-0.0038616443407180068,0.09209336453227544,0.003968253968253968,-0.08996085422537714,neutral
2024-06-03,-0.001854046973819301,0.07737436593086464,0.003968253968253968,-0.09164810954965763,neutral
2024-06-04,-0.0023640558386124333,0.07715757687903974,0.003968253968253968,-0.09379550413979143,neutral
2024-06-05,-0.002200424239778842,0.07137840720397927,0.003968253968253968,-0.09578953847867888,neutral
2024-06-06,0.012722646145774341,0.08779835155579484,0.015873015873015872,-0.08428558873543579,neutral
2024-06-07,-0.01901176083292544,0.10215827441341511,0.03571428571428571,-0.10169493211366076,stress
2024-06-10,0.0018782653962430285,0.10335845355004802,0.03968253968253968,-0.10000767678938016,stress
2024-06-11,0.005538999014322421,0.10437162383432706,0.051587301587301584,-0.09502262019821872,neutral
2024-06-12,-0.013050855216333423,0.10901474482806296,0.08333333333333333,-0.10683334895606855,stress
2024-06-13,-0.002404248510201157,0.10893444995536074,0.08333333333333333,-0.10898074354620224,stress
2024-06-14,0.0003443012172685833,0.10772078917890758,0.07936507936507936,-0.1086739645315955,stress
2024-06-17,-0.004130126930751432,0.10754945694653642,0.07936507936507936,-0.11235525419476333,stress
2024-06-18,0.0032832632609842705,0.10994583576226871,0.1111111111111111,-0.10944088281205533,stress
2024-06-19,0.005511534399849749,0.1139473551182026,0.1626984126984127,-0.10453253560257425,stress
