date,bsti_0_100,bsti_regime,dominant_pressure_channel,selected_strategy,selected_return,benchmark_return,active_return,warning_threshold,stress_threshold
2020-05-14,2.2241308988031134,calm,brazil_drawdown_pressure,passive_brazil_equity,0.002629808549857282,0.002629808549857282,0.0,15.0,33.0
2020-06-12,0.11841799272292916,calm,fx_pressure,passive_brazil_equity,0.17049180327868863,0.17049180327868863,0.0,15.0,33.0
2020-07-13,17.71817635449051,fragile,vix_pressure,covered_call,0.0734660052790696,0.0649860285911239,0.0084799766879457,15.0,33.0
2020-08-11,12.613040432296266,calm,vix_pressure,passive_brazil_equity,0.03314038711570699,0.03314038711570699,0.0,15.0,33.0
2020-09-09,3.6242937691767905,calm,fx_pressure,passive_brazil_equity,-0.007128278716863168,-0.007128278716863168,0.0,15.0,33.0
2020-10-08,18.41367749919124,fragile,brazil_vol_pressure,covered_call,-0.020379642848456458,-0.03312823955829325,0.012748596709836791,15.0,33.0
2020-11-06,10.520887501942159,calm,brazil_vol_pressure,passive_brazil_equity,0.030974922057076526,0.030974922057076526,0.0,15.0,33.0
2020-12-07,4.486276979434028,calm,vix_pressure,passive_brazil_equity,0.1247041343012043,0.1247041343012043,0.0,15.0,33.0
2021-01-05,12.042151681135131,calm,fx_pressure,passive_brazil_equity,0.049217866645076436,0.049217866645076436,0.0,15.0,33.0
2021-02-03,7.129395059480695,calm,brazil_vol_pressure,passive_brazil_equity,0.004882705961052336,0.004882705961052336,0.0,15.0,33.0
2021-03-04,26.71788983520441,fragile,brazil_drawdown_pressure,covered_call,-0.04598536393774126,-0.05796095709480076,0.011975593157059497,15.0,33.0
2021-04-02,9.984167393935667,calm,fx_pressure,passive_brazil_equity,0.01943447191933778,0.01943447191933778,0.0,15.0,33.0
2021-05-03,8.036613740576652,calm,fx_pressure,passive_brazil_equity,0.03614022396974059,0.03614022396974059,0.0,15.0,33.0
2021-06-01,6.520114071160542,calm,vix_pressure,passive_brazil_equity,0.07542728900296769,0.07542728900296769,0.0,15.0,33.0
2021-06-30,13.661713253165797,calm,external_brazil_pressure,passive_brazil_equity,-0.01232469188270291,-0.01232469188270291,0.0,15.0,33.0
2021-07-29,16.041478840573532,fragile,brazil_vol_pressure,covered_call,-0.004335857050027819,-0.00886621971353907,0.004530362663511251,15.0,33.0
2021-08-27,20.144692825864006,fragile,brazil_vol_pressure,covered_call,-0.03187573418936148,-0.037687425869656455,0.005811691680294974,15.0,33.0
2021-09-27,26.103657785111363,fragile,brazil_vol_pressure,covered_call,-0.05553200842305265,-0.06274746855206004,0.007215460129007388,15.0,33.0
2021-10-26,26.39187082660768,fragile,brazil_drawdown_pressure,covered_call,-0.04888466763735935,-0.06097896433893879,0.012094296701579438,15.0,33.0
2021-11-24,7.7636614095314584,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.015550086434138133,-0.015550086434138133,0.0,15.0,33.0
2021-12-23,9.940179601584465,calm,brazil_drawdown_pressure,passive_brazil_equity,0.0018874906129497937,0.0018874906129497937,0.0,15.0,33.0
2022-01-21,15.435096782084035,fragile,global_equity_pressure,covered_call,0.0435953878254378,0.03817549362788575,0.005419894197552053,15.0,33.0
2022-02-21,1.6668389967480188,calm,external_brazil_pressure,passive_brazil_equity,0.026265521300439465,0.026265521300439465,0.0,15.0,33.0
2022-03-22,11.977268055878914,calm,brazil_vol_pressure,passive_brazil_equity,0.05258261225079863,0.05258261225079863,0.0,15.0,33.0
2022-04-20,3.8107336403671366,calm,fx_pressure,passive_brazil_equity,-0.02696724547756002,-0.02696724547756002,0.0,15.0,33.0
2022-05-19,20.3994795139649,fragile,brazil_vol_pressure,covered_call,-0.055266057596622,-0.06333485713239873,0.008068799535776723,15.0,33.0
2022-06-17,22.40190955965172,fragile,brazil_drawdown_pressure,covered_call,-0.05498034803006027,-0.06664728972203338,0.011666941691973104,15.0,33.0
2022-07-18,14.421827860483369,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.029518723260740343,-0.029518723260740343,0.0,15.0,33.0
2022-08-16,3.443166386271257,calm,fx_pressure,passive_brazil_equity,0.17553816972816172,0.17553816972816172,0.0,15.0,33.0
2022-09-14,16.031472072120533,fragile,fx_pressure,covered_call,-0.01733086604845898,-0.027423488316760003,0.010092622268301023,15.0,33.0
2022-10-13,16.836342203138894,fragile,brazil_vol_pressure,covered_call,0.03971421827543237,0.03288058207241651,0.006833636203015858,15.0,33.0
2022-11-11,20.028705656379945,fragile,fx_pressure,covered_call,-0.0021545554104012185,-0.015508788784167504,0.013354233373766285,15.0,33.0
2022-12-12,35.007048747306825,stress,vix_pressure,collar,-0.04392543710835419,-0.062183323908167276,0.018257886799813085,15.0,33.0
2023-01-10,2.4884768036040996,calm,fx_pressure,passive_brazil_equity,0.052848694421773645,0.052848694421773645,0.0,15.0,33.0
2023-02-08,16.911535820779648,fragile,fx_pressure,covered_call,0.01004382585938993,-0.00783732006804816,0.01788114592743809,15.0,33.0
2023-03-09,31.38218276907856,fragile,vix_pressure,covered_call,-0.030688965779064513,-0.044950149933319916,0.014261184154255403,15.0,33.0
2023-04-07,12.278919145849333,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.039090205948584034,-0.039090205948584034,0.0,15.0,33.0
2023-05-08,9.8952980288963,calm,brazil_vol_pressure,passive_brazil_equity,0.05021008002616778,0.05021008002616778,0.0,15.0,33.0
2023-06-06,0.0,calm,brazil_drawdown_pressure,passive_brazil_equity,0.08371550404810524,0.08371550404810524,0.0,15.0,33.0
