weight_scheme,horizon_days,bsti_threshold,governance_score,observations,signal_observations,signal_frequency,avg_forward_return_signal_on,avg_forward_return_signal_off,avg_forward_max_drawdown_signal_on,avg_forward_max_drawdown_signal_off,future_negative_return_precision,future_drawdown_5pct_precision,future_drawdown_10pct_precision,future_negative_return_recall,future_drawdown_5pct_recall,future_drawdown_10pct_recall
local_risk_heavy,63,50.0,0.4419197016611512,3228,116,0.03593556381660471,0.014909904170147604,0.0320753671637106,-0.14811820129443193,-0.09310640933962817,0.46551724137931033,0.9396551724137931,0.5517241379310345,0.04326923076923077,0.03888690688547984,0.06393606393606394
external_brazil_heavy,21,10.0,0.32437184457757184,3228,1766,0.547087980173482,0.00832559528435437,0.012789101001411321,-0.056406224801963764,-0.0471636314075868,0.4479048697621744,0.4535673839184598,0.09003397508493771,0.5574348132487668,0.5770893371757925,0.7571428571428571
external_brazil_heavy,21,15.0,0.3019869471635134,3228,1188,0.3680297397769517,0.00788862681547396,0.011778910921299068,-0.05873477003389453,-0.048426331038182946,0.44865319865319864,0.4764309764309764,0.10437710437710437,0.37561663143058494,0.40778097982708933,0.5904761904761905
external_brazil_heavy,21,20.0,0.2827374414248007,3228,791,0.24504337050805453,0.006214781567630667,0.011688459054672676,-0.06221145795788232,-0.048977168187720556,0.450063211125158,0.49051833122629585,0.12262958280657396,0.25088090204369273,0.27953890489913547,0.46190476190476193
external_brazil_heavy,21,25.0,0.2781591855270111,3228,505,0.15644361833952913,0.0022602100597314497,0.011846955878100912,-0.06786794006141039,-0.04931814630449786,0.4534653465346535,0.5188118811881188,0.1504950495049505,0.1613812544045102,0.18876080691642652,0.3619047619047619
external_brazil_heavy,21,33.0,0.2740075803222902,3228,259,0.08023543990086741,0.00038773769064081757,0.011215979412043515,-0.07347284366357076,-0.0503661689489037,0.4517374517374517,0.5482625482625483,0.1776061776061776,0.0824524312896406,0.10230547550432277,0.21904761904761905
external_brazil_heavy,21,40.0,0.2765226328864617,3228,138,0.04275092936802974,-0.004786145343164358,0.011023027506016131,-0.08148373648510018,-0.05091322539909905,0.463768115942029,0.572463768115942,0.1956521739130435,0.04510218463706836,0.0569164265129683,0.12857142857142856
external_brazil_heavy,21,50.0,0.3137142599487413,3228,59,0.018277571251548948,-0.011844129579966564,0.010760325207147741,-0.09961276956388236,-0.05133779385102267,0.4745762711864407,0.6610169491525424,0.3220338983050847,0.019732205778717406,0.028097982708933718,0.09047619047619047
external_brazil_heavy,63,10.0,0.499984633267643,3228,1766,0.547087980173482,0.0339081977111826,0.028499462612350236,-0.09915925409107366,-0.09015979103299648,0.3952434881087203,0.8652321630804077,0.33125707814269534,0.5592948717948718,0.5451302176239743,0.5844155844155844
external_brazil_heavy,63,15.0,0.4603946560309943,3228,1188,0.3680297397769517,0.03418655026124192,0.02986983813080839,-0.10188032496265367,-0.09112501527423744,0.40404040404040403,0.8577441077441077,0.3543771043771044,0.38461538461538464,0.3635390652871923,0.4205794205794206
external_brazil_heavy,63,20.0,0.44073968813930914,3228,791,0.24504337050805453,0.03196265413789356,0.03129488390403394,-0.1060643627857956,-0.09151905878190916,0.41845764854614415,0.8647281921618205,0.36030341340075855,0.265224358974359,0.24402425972172673,0.28471528471528473
external_brazil_heavy,63,25.0,0.42969648306254665,3228,505,0.15644361833952913,0.027071272771078424,0.03227216259559674,-0.11268409886943419,-0.091819091915539,0.43366336633663366,0.8752475247524752,0.39603960396039606,0.17548076923076922,0.1576881912236889,0.1998001998001998
external_brazil_heavy,63,33.0,0.4190230354960226,3228,259,0.08023543990086741,0.030025039957275266,0.031583565560212266,-0.1165169188385392,-0.09321353157153767,0.42857142857142855,0.8841698841698842,0.40540540540540543,0.0889423076923077,0.0816981805208705,0.1048951048951049
external_brazil_heavy,63,40.0,0.420047372693546,3228,138,0.04275092936802974,0.021192717511801996,0.03191698915228992,-0.12716618435061516,-0.09365046076850876,0.4855072463768116,0.8985507246376812,0.463768115942029,0.05368589743589743,0.044238316089903675,0.06393606393606394
external_brazil_heavy,63,50.0,0.4342795420700738,3228,59,0.018277571251548948,0.01871179754019546,0.03169583320995045,-0.1477488865848782,-0.09410276835171005,0.4915254237288136,0.9322033898305084,0.576271186440678,0.023237179487179488,0.01962183374955405,0.03396603396603397
fx_vix_heavy,21,10.0,0.32853948253315923,3228,1744,0.540272614622057,0.00969459708048206,0.011114076568647208,-0.056384273980088495,-0.04732644763941076,0.43922018348623854,0.46043577981651373,0.08944954128440367,0.5398167723749119,0.5785302593659942,0.7428571428571429
fx_vix_heavy,21,15.0,0.2950911254479878,3228,1158,0.3587360594795539,0.008127073717382784,0.011589137957248261,-0.05858955157930643,-0.04865696685474545,0.4438687392055268,0.4697754749568221,0.1001727115716753,0.36222692036645526,0.3919308357348703,0.5523809523809524
