Date,brazil_drawdown_pressure_weighted,brazil_vol_pressure_weighted,external_brazil_pressure_weighted,global_equity_pressure_weighted,fx_pressure_weighted,vix_pressure_weighted,bsti_raw_score,bsti_0_100,bsti_regime,stress_breadth,active_pressure_channels,dominant_pressure_channel,dominant_pressure_value,brazil_drawdown_pressure,brazil_vol_pressure,external_brazil_pressure,global_equity_pressure,fx_pressure,vix_pressure
2014-03-25,0.0,0.028677096732076437,0.0,0.0,0.0,0.0,0.028677096732076437,0.9559032244025479,calm,0.0,0,brazil_vol_pressure,0.1911806448805096,0.0,0.1911806448805096,0.0,0.0,0.0,0.0
2014-03-26,0.0,0.010132871160279151,0.0,0.1523439731298611,0.0,0.11898709943322151,0.28146394372336175,9.382131457445391,calm,0.3333333333333333,2,global_equity_pressure,1.0156264875324073,0.0,0.067552474401861,0.0,1.0156264875324073,0.0,0.7932473295548101
2014-03-27,0.0,0.2754492756969397,0.0,0.04839486963325948,0.0,0.0,0.32384414533019923,10.794804844339973,calm,0.16666666666666666,1,brazil_vol_pressure,1.8363285046462647,0.0,1.8363285046462647,0.0,0.32263246422172986,0.0,0.0
2014-03-28,0.0,0.1535440464055875,0.0,0.0,0.0,0.0,0.1535440464055875,5.1181348801862505,calm,0.16666666666666666,1,brazil_vol_pressure,1.02362697603725,0.0,1.02362697603725,0.0,0.0,0.0,0.0
2014-03-31,0.0,0.12873834122586453,0.07270043718498728,0.0,0.014255586192079112,0.0,0.21569436460293093,7.189812153431031,calm,0.16666666666666666,1,brazil_vol_pressure,0.8582556081724302,0.0,0.8582556081724302,0.3635021859249364,0.0,0.09503724128052742,0.0
2014-04-01,0.0,0.12795616247816013,0.06876601499006639,0.0,0.14345669343844006,0.0,0.34017887090666654,11.339295696888884,calm,0.3333333333333333,2,fx_pressure,0.9563779562562671,0.0,0.8530410831877343,0.34383007495033197,0.0,0.9563779562562671,0.0
2014-04-02,0.0,0.2557165194696164,0.0,0.0,0.0,0.0,0.2557165194696164,8.523883982320546,calm,0.16666666666666666,1,brazil_vol_pressure,1.7047767964641094,0.0,1.7047767964641094,0.0,0.0,0.0,0.0
2014-04-03,0.0,0.19730460403379205,0.17015837150622684,0.040396297250892096,0.08419375528706925,0.0377833138639129,0.5298363419418931,17.661211398063102,fragile,0.3333333333333333,2,brazil_vol_pressure,1.315364026891947,0.0,1.315364026891947,0.8507918575311342,0.26930864833928064,0.5612917019137951,0.25188875909275266
2014-04-04,0.0,0.21257808941209055,0.0,0.24679220129004364,0.13028964233364126,0.08033182053027176,0.6699917535660472,22.333058452201573,fragile,0.5,3,global_equity_pressure,1.6452813419336243,0.0,1.4171872627472704,0.0,1.6452813419336243,0.8685976155576085,0.5355454702018118
2014-04-07,0.0,0.14420034715598232,0.0,0.22337177899030125,0.0,0.21495280430733416,0.5825249304536178,19.417497681787257,fragile,0.5,3,global_equity_pressure,1.489145193268675,0.0,0.9613356477065488,0.0,1.489145193268675,0.0,1.4330186953822277
2014-04-08,0.0,0.08621189081026213,0.11380979678849157,0.0,0.0,0.0,0.20002168759875372,6.667389586625124,calm,0.0,0,brazil_vol_pressure,0.574745938735081,0.0,0.574745938735081,0.5690489839424578,0.0,0.0,0.0
2014-04-09,0.0,0.13441130030471315,0.2128530548530786,0.0,0.0,0.0,0.34726435515779175,11.575478505259724,calm,0.3333333333333333,2,external_brazil_pressure,1.0642652742653929,0.0,0.8960753353647545,1.0642652742653929,0.0,0.0,0.0
2014-04-10,0.0,0.13951367535618273,0.0,0.4012335559247802,0.0,0.27611529861633993,0.8168625298973029,27.22875099657676,fragile,0.5,3,global_equity_pressure,2.674890372831868,0.0,0.9300911690412182,0.0,2.674890372831868,0.0,1.8407686574422661
2014-04-11,0.0,0.10610149074608342,0.0,0.16932718870136146,0.2454973605822535,0.12248194370042344,0.6434079837301218,21.44693279100406,fragile,0.5,3,fx_pressure,1.6366490705483567,0.0,0.7073432716405562,0.0,1.128847924675743,1.6366490705483567,0.8165462913361563
2014-04-14,0.0,0.04794078677664008,0.17421204811435576,0.0,0.11723236117583191,0.0,0.3393851960668277,11.312839868894258,calm,0.3333333333333333,2,external_brazil_pressure,0.8710602405717787,0.0,0.3196052451776005,0.8710602405717787,0.0,0.7815490745055461,0.0
2014-04-15,0.0,0.2428720682506194,0.47332044823234737,0.0,0.005325265926542014,0.0,0.7215177824095088,24.050592746983625,fragile,0.3333333333333333,2,external_brazil_pressure,2.3666022411617367,0.0,1.6191471216707962,2.3666022411617367,0.0,0.03550177284361343,0.0
2014-04-16,0.0,0.20345813417847236,0.0,0.0,0.22116550491184306,0.0,0.4246236390903154,14.154121303010514,calm,0.3333333333333333,2,fx_pressure,1.474436699412287,0.0,1.3563875611898157,0.0,0.0,1.474436699412287,0.0
2014-04-17,0.0,0.23059717943063435,0.0,0.0,0.05903856396839842,0.0,0.28963574339903275,9.654524779967758,calm,0.16666666666666666,1,brazil_vol_pressure,1.5373145295375623,0.0,1.5373145295375623,0.0,0.0,0.39359042645598946,0.0
2014-04-18,0.0,0.22063612500394844,0.02489641920310323,0.005420371208794161,0.0,0.0,0.25095291541584586,8.365097180528196,calm,0.16666666666666666,1,brazil_vol_pressure,1.470907500026323,0.0,1.470907500026323,0.12448209601551616,0.03613580805862774,0.0,0.0
2014-04-21,0.0,0.21921836727523114,0.12492973809287367,0.0,0.01863102285096497,0.0,0.36277912821906977,12.092637607302326,calm,0.16666666666666666,1,brazil_vol_pressure,1.4614557818348743,0.0,1.4614557818348743,0.6246486904643683,0.0,0.12420681900643314,0.0
2014-04-22,0.0,0.19589681435908637,0.12269370589729095,0.0,0.02044157940457618,0.0,0.33903209966095355,11.301069988698451,calm,0.16666666666666666,1,brazil_vol_pressure,1.3059787623939092,0.0,1.3059787623939092,0.6134685294864547,0.0,0.13627719603050786,0.0
2014-04-23,0.0,0.22167112683950776,0.01369707558486977,0.0634489556671294,0.10831011502657552,0.019223708476961393,0.4263509815950438,14.211699386501461,calm,0.16666666666666666,1,brazil_vol_pressure,1.4778075122633851,0.0,1.4778075122633851,0.06848537792434885,0.42299303778086267,0.7220674335105035,0.12815805651307596
2014-04-24,0.0,0.19616976513171056,0.0,0.0,0.0,0.012689952997746631,0.2088597181294572,6.96199060431524,calm,0.16666666666666666,1,brazil_vol_pressure,1.3077984342114037,0.0,1.3077984342114037,0.0,0.0,0.0,0.0845996866516442
2014-04-25,0.0,0.0,0.12834476893029267,0.17738716205456365,0.0,0.12269343349029475,0.42842536447515106,14.280845482505036,calm,0.3333333333333333,2,global_equity_pressure,1.1825810803637578,0.0,0.0,0.6417238446514634,1.1825810803637578,0.0,0.8179562232686317
2014-04-28,0.0,0.0,0.0,0.0,0.31346968086301824,0.0,0.31346968086301824,10.448989362100608,calm,0.16666666666666666,1,fx_pressure,2.089797872420122,0.0,0.0,0.0,0.0,2.089797872420122,0.0
2014-04-29,0.0,0.0,0.013209724099717905,0.0,0.0,0.0,0.013209724099717905,0.44032413665726344,calm,0.0,0,external_brazil_pressure,0.06604862049858952,0.0,0.0,0.06604862049858952,0.0,0.0,0.0
2014-04-30,0.0,0.0,0.12624513650286662,0.0,0.14868758161567946,0.0,0.2749327181185461,9.16442393728487,calm,0.16666666666666666,1,fx_pressure,0.9912505441045298,0.0,0.0,0.6312256825143331,0.0,0.9912505441045298,0.0
2014-05-01,0.0,0.0,0.08073563501765542,0.0276469182725454,0.0,0.0,0.10838255329020081,3.612751776340027,calm,0.0,0,external_brazil_pressure,0.4036781750882771,0.0,0.0,0.4036781750882771,0.184312788483636,0.0,0.0
2014-05-02,0.0,0.0,0.0,0.05961551778508851,0.05604825716562319,0.0,0.1156637749507117,3.8554591650237233,calm,0.0,0,global_equity_pressure,0.3974367852339234,0.0,0.0,0.0,0.3974367852339234,0.3736550477708213,0.0
2014-05-05,0.0,0.0,0.1496127649815764,0.0,0.0,0.08409984709604255,0.23371261207761895,7.790420402587299,calm,0.0,0,external_brazil_pressure,0.748063824907882,0.0,0.0,0.748063824907882,0.0,0.0,0.5606656473069503
2014-05-06,0.0,0.0,0.0,0.21977483740000495,0.2850372653672334,0.10298940813277409,0.6078015109000124,20.260050363333747,fragile,0.3333333333333333,2,fx_pressure,1.900248435781556,0.0,0.0,0.0,1.4651655826666996,1.900248435781556,0.6865960542184939
2014-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-08,0.0,0.0,0.1364437127769428,0.04243189497780649,0.0,0.007102660848972835,0.18597826860372216,6.199275620124072,calm,0.0,0,external_brazil_pressure,0.682218563884714,0.0,0.0,0.682218563884714,0.2828792998520433,0.0,0.04735107232648557
2014-05-09,0.0,0.0,0.10607780611786442,0.0,0.018772106460559473,0.0,0.1248499125784239,4.16166375261413,calm,0.0,0,external_brazil_pressure,0.5303890305893221,0.0,0.0,0.5303890305893221,0.0,0.12514737640372983,0.0
2014-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-13,0.0,0.0,0.08811882673894522,0.0,0.05521976960803706,0.0,0.1433385963469823,4.777953211566077,calm,0.0,0,external_brazil_pressure,0.4405941336947261,0.0,0.0,0.4405941336947261,0.0,0.36813179738691376,0.0
2014-05-14,0.0,0.0,0.0,0.12364882496856268,0.04477255167182482,0.009101995933307745,0.17752337257369524,5.917445752456508,calm,0.16666666666666666,1,global_equity_pressure,0.8243254997904179,0.0,0.0,0.0,0.8243254997904179,0.29848367781216545,0.0606799728887183
